#           x             T           CH4            O2            N2           CO2           H2O
       0.0154       376.836    1.1103e-07      0.221552      0.773145    0.00291589    0.00238721
       0.0155       363.721   9.12484e-08      0.222839      0.772812    0.00239133    0.00195776
       0.0156       350.606   7.14666e-08      0.224125       0.77248    0.00186677     0.0015283
       0.0157       341.041   5.77988e-08      0.225075      0.772182    0.00150843    0.00123494
       0.0158       331.475    4.4131e-08      0.226024      0.771884    0.00115009   0.000941566
      0.01585       328.117   3.96577e-08      0.226362      0.771759    0.00103334    0.00084599
       0.0159       324.759   3.51844e-08        0.2267      0.771633   0.000916603   0.000750415
      0.01595       321.401   3.07111e-08      0.227038      0.771508   0.000799861   0.000654839
        0.016       318.043   2.62378e-08      0.227376      0.771382   0.000683119   0.000559263
      0.01604       316.221   2.40033e-08      0.227562      0.771302   0.000624953   0.000511643
      0.01608       314.399   2.17689e-08      0.227748      0.771221   0.000566788   0.000464024
      0.01614       311.667   1.84173e-08      0.228027      0.771101   0.000479539   0.000392594
       0.0162       308.934   1.50656e-08      0.228306      0.770981   0.000392291   0.000321164
      0.01625       307.437   1.33939e-08      0.228462      0.770904   0.000348844   0.000285595
       0.0163       305.939   1.17223e-08      0.228617      0.770827   0.000305398   0.000250026
      0.01635       304.442   1.00506e-08      0.228773      0.770751   0.000261952   0.000214457
       0.0164       302.945   8.37892e-09      0.228928      0.770674   0.000218506   0.000178888
     0.016475       301.505   6.93414e-09       0.22908      0.770591   0.000180975   0.000148163
      0.01655       300.066   5.48935e-09      0.229232      0.770507   0.000143444   0.000117437
     0.016575       299.586   5.00776e-09      0.229283      0.770479   0.000130934   0.000107195
       0.0166       299.106   4.52616e-09      0.229333      0.770452   0.000118424   9.69526e-05
    0.0166333       298.705   4.16858e-09      0.229377      0.770425   0.000109125   8.93398e-05
    0.0166667       298.303   3.81099e-09       0.22942      0.770399   9.98265e-05    8.1727e-05
    0.0167333       297.501   3.09582e-09      0.229506      0.770347    8.1229e-05   6.65015e-05
       0.0168       296.698   2.38065e-09      0.229592      0.770295   6.26316e-05   5.12759e-05
      0.01684       296.401    2.1489e-09      0.229624      0.770274   5.65866e-05   4.63269e-05
      0.01688       296.104   1.91715e-09      0.229656      0.770252   5.05416e-05   4.13779e-05
      0.01694       295.659   1.56952e-09      0.229704       0.77022    4.1474e-05   3.39544e-05
        0.017       295.214   1.22188e-09      0.229752      0.770188   3.24065e-05   2.65309e-05
       0.0171       294.763   9.17511e-10      0.229802      0.770153   2.44242e-05   1.99959e-05
